,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
7840,7840,924630858160824057,Rental unit in Amsterdam · ★New · 2 bedrooms · 2 beds · 2.5 baths,4865517,Centrum-Oost,52.37384010866816,4.905443820438393,Entire home/apt,600,6,0,,,1,74,0
7839,7839,924565554428798665,Home in Amsterdam · ★New · 1 bedroom · 1 bed · 1 bath,159191492,De Baarsjes - Oud-West,52.36634467293473,4.867235953967275,Entire home/apt,310,3,0,,,1,312,0
3024,3024,27903955,Rental unit in Amsterdam · ★4.82 · 1 bedroom · 1 bed · 1 private bath,1195935,Buitenveldert - Zuidas,52.3243,4.87289,Private room,69,2,75,2020-03-20,1.23,1,0,0
3031,3031,27974728,Rental unit in Amsterdam · ★4.86 · 1 bedroom · 1 bed · 1 bath,15070944,Centrum-West,52.37459,4.88061,Entire home/apt,269,4,7,2019-12-26,0.12,1,0,0
3034,3034,28042923,Boat in Amsterdam · ★4.45 · 2 bedrooms · 2 beds · 1 bath,211826887,Westerpark,52.37943,4.87795,Entire home/apt,206,2,11,2019-01-04,0.18,1,0,0
3036,3036,28059480,Condo in Amsterdam · Studio · 1 bed · 1 private bath,22082242,Oud-Oost,52.35941,4.92684,Private room,75,1,1,2018-11-04,0.02,2,0,0
2805,2805,25257623,Rental unit in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1 bath,7126646,De Baarsjes - Oud-West,52.37017,4.87174,Entire home/apt,125,5,3,2019-09-03,0.05,1,0,0
7828,7828,923977446409707028,Home in Amsterdam · ★New · 1 bedroom · 1 bed · 1 bath,33089464,Centrum-Oost,52.37129,4.89969,Entire home/apt,283,4,0,,,2,4,0
2804,2804,25227661,Rental unit in Amsterdam · ★4.85 · Studio · 1 bed · 1 bath,29433335,Oud-Oost,52.3553,4.92757,Entire home/apt,90,4,20,2021-08-17,0.33,1,0,0
2800,2800,25159136,Villa in Amsterdam · ★5.0 · 4 bedrooms · 4 beds · 1.5 baths,182599784,Gaasperdam - Driemond,52.31021,5.01813,Entire home/apt,310,7,5,2022-08-12,0.08,1,167,0
2623,2623,23368382,Rental unit in Amsterdam · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,17278505,Watergraafsmeer,52.3499,4.93729,Entire home/apt,189,5,10,2020-01-05,0.15,1,0,0
2626,2626,23404925,Rental unit in Amsterdam · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,174521036,Oud-Oost,52.35689,4.91209,Entire home/apt,160,3,8,2018-10-21,0.12,1,0,0
